lead_target_speed_mps,n_points,nondecreasing_ratio,min_local_slope,max_local_slope
2.0,0,nan,nan,nan
2.25,0,nan,nan,nan
2.5,0,nan,nan,nan
2.75,0,nan,nan,nan
3.0,0,nan,nan,nan
3.25,0,nan,nan,nan
3.5,0,nan,nan,nan
3.75,0,nan,nan,nan
4.0,0,nan,nan,nan
4.25,49,0.6875,-0.2236275280585076,2.2258886556947886
4.5,49,0.7708333333333334,-0.3065871408262666,2.238233556012645
4.75,49,0.7083333333333334,-0.19676413585044372,2.1964059207443682
5.0,49,0.7708333333333334,-0.19228007522350765,2.2250598710136416
5.25,49,0.7083333333333334,-0.30323793462982707,2.2847483063753344
5.5,49,0.7708333333333334,-0.5775434910564883,2.5178182333970867
5.75,49,0.75,-0.1758542181963776,2.18911864963313
6.0,49,0.7291666666666666,-1.6572287418637046,3.7345382751756233
6.25,49,0.7291666666666666,-1.9657066651958814,3.9326177807718565
6.5,49,0.7916666666666666,-0.2054309436350934,2.3051927274713577
6.75,49,0.7291666666666666,-2.7480899637825047,4.827464064851327
7.0,49,0.7083333333333334,-3.592404986526361,3.2528135973112597
7.25,49,0.6875,-1.7455006715653738,3.9827328823762116
7.5,49,0.6875,-4.3502772225893125,6.334292905423069
7.75,49,0.75,-4.973048258116421,6.3422037171553
8.0,49,0.75,-1.6661221789257752,3.6604451561360776
8.25,49,0.6666666666666666,-2.8651336171942035,4.802996997257807
8.5,0,nan,nan,nan
8.75,0,nan,nan,nan
9.0,0,nan,nan,nan
9.25,0,nan,nan,nan
9.5,0,nan,nan,nan
9.75,0,nan,nan,nan
10.0,0,nan,nan,nan
